bus_line_name,station_name,location,geo
绵阳10公交车路线(荷花中街花园市场—南湖客运站),荷花中街花园市场,"104.712410,31.457266","{'formatted_address': '四川省绵阳市涪城区花园市场', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.712410,31.457266', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),火车客站,"104.716323,31.458812","{'formatted_address': '四川省绵阳市涪城区火车客站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.716323,31.458812', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),临园路西段,"104.719048,31.457813","{'formatted_address': '四川省绵阳市涪城区临园路西段', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.719048,31.457813', 'level': '道路'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),花园小区,"104.725676,31.457593","{'formatted_address': '四川省绵阳市涪城区花园小区', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.725676,31.457593', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),七星楼,"104.733162,31.462002","{'formatted_address': '四川省绵阳市涪城区七星楼', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.733162,31.462002', 'level': '村庄'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),富乐路口凯德广场,"104.741317,31.464101","{'formatted_address': '四川省绵阳市涪城区凯德广场', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.741317,31.464101', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),汉龙桥,"104.748878,31.463272","{'formatted_address': '四川省绵阳市涪城区汉龙桥', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.748878,31.463272', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),建国门,,
绵阳10公交车路线(荷花中街花园市场—南湖客运站),兴宏国际商业广场(清真寺),"104.750740,31.457045","{'formatted_address': '四川省绵阳市涪城区兴宏国际商业广场', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.750740,31.457045', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),大西门,"104.750671,31.453915","{'formatted_address': '四川省绵阳市涪城区大西门', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.750671,31.453915', 'level': '村庄'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),南河路中段,"104.753990,31.452356","{'formatted_address': '四川省绵阳市涪城区南河路中段', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.753990,31.452356', 'level': '道路'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),南河路口,"104.750857,31.452847","{'formatted_address': '四川省绵阳市涪城区南河路', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.750857,31.452847', 'level': '道路'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),南山大桥,"104.761261,31.449079","{'formatted_address': '四川省绵阳市涪城区南山大桥', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.761261,31.449079', 'level': '热点商圈'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),南山公园,"104.770726,31.449311","{'formatted_address': '四川省绵阳市涪城区南山公园', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.770726,31.449311', 'level': '兴趣点'}"
绵阳10公交车路线(荷花中街花园市场—南湖客运站),南山路,"104.773804,31.445054","{'formatted_address': '四川省绵阳市涪城区南山路', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.773804,31.445054', 'level': '道路'}"
